name,Type,Lat,Lon,Elevation
Menengai,Shield,-0.2,36.07,2278
Merapi,Stratovolcano,-7.54,110.44,2911
Merbabu,Stratovolcano,-7.45,110.43,3145
Meru,Stratovolcano,-3.25,36.75,4565
Methana,Dome,37.62,23.34,760
Metis Shoal,Submarine,-19.18,-174.87,43
Michael,Stratovolcano,-57.78,-26.45,990
Michoacan-Guanajuato,Cinder Cone,19.85,-101.75,3860
Mílos,Stratovolcano,36.7,24.44,751
Miyake-jima,Stratovolcano,34.08,139.53,815
Moffett,Stratovolcano,51.94,-176.75,1196
Mojanda,Stratovolcano,0.13,-78.27,4263
Momotombo,Stratovolcano,12.42,-86.54,1297
Monaco Bank,Submarine,37.6,-25.88,-197
Mono Lake Vol Field,Volcanic Field,38,-119.03,2121
Monowai Seamount,Submarine,-25.89,-177.19,-132
Moti,Stratovolcano,0.45,127.4,950
Muria,Stratovolcano,-6.62,110.88,1625
Nantai,Stratovolcano,36.76,139.48,2486
Nasu,Stratovolcano,37.12,139.97,1915
"Negro, Cerro",Cinder Cone,12.51,-86.7,728
Nemo Peak,Caldera,49.57,154.81,1018
Nevis Peak,Stratovolcano,17.15,-62.58,985
Newberry,Shield,43.72,-121.23,2434
Newer Volcanics Province,Shield,-37.77,142.5,1011
Ngauruhoe,Stratovolcano,-39.13,175.64,1978
Nikko-Shirane,Shield,36.8,139.38,2578
Nipesotsu-Maruyama,Stratovolcano,43.45,143.04,2013
Nisyros,Stratovolcano,36.59,27.16,698
Nyambeni Hills,Shield,0.23,37.87,750
Nyamuragira,Shield,-1.41,29.2,3058
Nyiragongo,Stratovolcano,-1.52,29.25,3470
Ojos del Salado,Stratovolcano,-27.12,-68.55,6887
Okataina,Dome,-38.12,176.5,1111
Okmok,Shield,53.43,-168.13,1073
Oku Volcanic Field,Stratovolcano,6.25,10.5,3011
Ol Doinyo Lengai,Stratovolcano,-2.76,39.91,2962
Opala,Caldera,52.54,157.34,1776
Oraefajokull,Stratovolcano,64,-16.65,2119
Oshima,Stratovolcano,34.72,139.4,764
Pacaya,Complex Volcano,14.38,-90.6,2552
Pagan,Stratovolcano,18.13,145.8,570
Pago,Caldera,-5.58,150.52,742
Papandayan,Stratovolcano,-7.32,107.73,2665
Paricutin,Cinder Cone,19.5,-102.2,3170
Parinacota,Stratovolcano,-18.17,-69.15,6348
Pauzhetka,Dome,51.45,156.97,1070
Pavlof,Stratovolcano,55.42,-161.89,2519
Pavlof Sister,Stratovolcano,55.45,-161.84,2142
Pelee,Stratovolcano,14.82,-61.17,1397
Peuet Sague,Complex Volcano,4.91,96.33,2801
Pico,Stratovolcano,38.47,-28.4,2351
"Pilas, Las",Stratovolcano,11.54,-85.62,1700
Pinacate,Cinder Cone,31.77,-113.5,1200
Pinatubo,Stratovolcano,15.13,120.35,1486
Pisgah Lava Field,Volcanic Field,34.75,-116.63,1495
Piton de la Fournaise,Shield,-21.23,55.71,2631
Poas,Stratovolcano,10.2,-84.23,2708
Popocatepetl,Stratovolcano,19.02,-98.62,5246
Prevo Peak,Stratovolcano,47.02,152.12,1360
Purace,Stratovolcano,2.32,-76.4,4650
"Quill, The",Stratovolcano,17.48,-62.96,601
Rabaul,Shield,-4.27,152.2,688
Ragang,Stratovolcano,7.7,124.5,2815
Raikoke,Stratovolcano,48.29,153.25,551
Rainier,Stratovolcano,46.85,-121.76,4392
Rajabasa,Stratovolcano,-5.78,105.63,1281
Raoul,Stratovolcano,-29.27,-177.92,516
Rasshua,Stratovolcano,47.77,153.02,956
Raung,Stratovolcano,-8.13,114.04,3332
Rausu,Stratovolcano,44.07,145.13,1660
Redoubt,Stratovolcano,60.49,-152.74,3108
Reventador,Stratovolcano,-0.08,-77.66,3562
Rincon de la Vieja,Complex Volcano,10.83,-85.32,1916
Roundtop,Stratovolcano,54.8,-163.59,1871
Ruapehu,Stratovolcano,-39.28,175.57,2797
Rudakov,Stratovolcano,45.88,149.83,542
"Ruiz, Nevado del",Stratovolcano,4.89,-75.32,5321
Rumble IV,Submarine,-36.13,178.05,500
Saba,Stratovolcano,17.63,-63.23,887
Sabancaya,Stratovolcano,-15.78,-71.85,5967
Sakar,Stratovolcano,-5.41,148.09,992
Sakura-jima,Stratovolcano,31.59,130.66,1117
Salak,Stratovolcano,-6.72,106.73,2211
San Cristobal,Stratovolcano,12.7,-87,1745
San Salvador,Stratovolcano,13.73,-89.29,1893
San Vicente,Stratovolcano,16.9,-25,697
Sanford,Shield,62.22,-144.13,4949
Sangay,Stratovolcano,-2,-78.34,5230
Santa Ana,Stratovolcano,13.85,-89.63,2381
Santa Maria,Stratovolcano,14.76,-91.55,3772
Santorini,Shield,36.4,25.4,367
Sarychev Peak,Stratovolcano,48.09,153.2,1496
Savo,Stratovolcano,-9.13,159.82,485
Segula,Stratovolcano,52.02,178.14,1160
Semeru,Stratovolcano,-8.11,112.92,3676
Semisopochnoi,Stratovolcano,51.93,179.58,1221
Sete Cidades,Stratovolcano,37.87,-25.78,856
Shasta,Stratovolcano,41.41,-122.19,4317
Sheveluch,Stratovolcano,56.65,161.36,3283
Shikotsu,Caldera,42.69,141.38,1320
Shiretoko-Iwo-zan,Stratovolcano,44.13,145.17,1563
Shishaldin,Stratovolcano,54.76,-163.97,2857
Sinarka,Stratovolcano,48.88,154.18,934
Smirnov,Stratovolcano,44.42,146.14,1189
Sollipulli,Caldera,-38.97,-71.52,2282
Soputan,Stratovolcano,1.11,124.73,1784
Soufriere Guadeloupe,Stratovolcano,16.05,-61.67,1467
Soufrière Hills,Stratovolcano,16.72,-62.18,915
Soufrière St. Vincent,Stratovolcano,13.33,-61.18,1220
South Island,,2.63,36.6,800
SP Mountain,Cinder Cone,35.6,-111.6,2141
Spurr,Stratovolcano,61.3,-152.25,3374
Srednii,Submarine,47.6,152.92,36
Steller,Stratovolcano,58.4,-154.4,2272
Stromboli,Stratovolcano,38.79,15.21,924
Sumaco,Stratovolcano,-0.54,-77.63,3990
Sumbing,Stratovolcano,-7.38,110.07,3371
Sundoro,Stratovolcano,-7.3,109.99,3136
Sunset Craters,Cinder Cone,35.37,-111.5,2447
Suswa,Shield,-1.18,36.35,2356
Suwanose-jima,Stratovolcano,29.64,129.72,799
Taal,Caldera,14,120.99,311
Talang,Stratovolcano,-0.98,100.68,2597
Tambora,Stratovolcano,-8.25,118,2850
Tambora,Stratovolcano,-8.25,118,2850
Tanaga and Takawangha,Stratovolcano,51.89,-178.15,1806
Tanaga and Takawangha,Stratovolcano,51.89,-178.15,1806
Tangkubanparahu,Stratovolcano,-6.77,107.6,2084
Tao-Rusyr Caldera,Stratovolcano,49.35,154.7,1325
Tarso Voon,Stratovolcano,20.92,17.28,3100
Telica Volcano,Stratovolcano,12.6,-86.85,1010
Tenerife,Stratovolcano,28.27,-16.64,3715
Tengger Caldera and Bromo,Stratovolcano,-7.94,112.95,2329
Three Fingered Jack,Stratovolcano,44.5,-121.8,2390
Three Sisters,Stratovolcano,44.1,121.77,3100
Thule Islands,Stratovolcano,-59.45,-27.37,1075
Tiatia,Stratovolcano,44.35,146.26,1819
Toba,Caldera,2.58,98.83,2157
Todoko-Ranu,Caldera,1.25,127.47,979
Tokachi,,43.42,142.69,2077
Tolbachik,Stratovolcano,55.83,160.33,3682
Tolimán,Stratovolcano,14.61,-91.19,3158
Towada,Caldera,40.47,140.92,1159
Traitor's Head,Stratovolcano,-18.75,169.23,1881
Tri Sestry,Stratovolcano,45.93,149.92,998
Tristan da Cunha,Shield,-37.09,-12.28,2060
Tsurumi,Dome,33.28,131.43,1584
Tungurahua,Stratovolcano,-1.47,-78.44,2011
Ubehebe Craters,Maar,37.02,-117.45,752
Ubinas,Stratovolcano,-16.36,-70.9,5672
Udina,Stratovolcano,55.76,160.53,2923
Ugashik and Peulik,Stratovolcano,57.75,-156.37,1474
Uinkaret Volcanic Field,Volcanic Field,36.38,-113.13,1555
Ulawun,Stratovolcano,-5.05,151.33,2334
Umboi,Complex Volcano,-5.59,147.88,1548
Undara,Shield,-18.25,144.75,1020
Ungaran and Telomoyo,,-7.18,110.33,2050
Unzen,Complex Volcano,32.76,130.29,1500
Urataman,Somma Volcano,47.12,152.25,678
Ushishur,Caldera,47.52,152.8,401
Usu,Stratovolcano,42.54,140.84,737
Uzon,Caldera,54.5,159.97,1617
Veniaminof,Stratovolcano,56.17,-159.38,2507
Vernadskii Ridge,Cinder Cone,50.55,155.97,1183
Vesuvius,Somma Volcano,40.82,14.43,1281
Villarrica,Stratovolcano,-39.42,-71.93,2847
Vilyuchik,Stratovolcano,52.7,158.28,2173
Visoke,Stratovolcano,-1.47,29.49,3711
Vsevidof and Recheschnoi Volcanoes,Stratovolcano,53.13,-168.69,2149
Vulcano,,38.4,14.96,500
Washington,Shield,44.3,-121.8,2376
Wau-en-Namus,Caldera,25.05,17.55,547
Westdahl,Stratovolcano,54.52,-164.65,1654
White Island,Stratovolcano,-37.52,177.18,321
Wrangell,Shield,62,-144.02,4317
Wudalianchi,Volcanic Field,48.72,126.12,597
Yake-dake,Stratovolcano,36.22,137.59,2455
Yali,Dome,36.67,27.14,180
Yantarni,Stratovolcano,57.02,-157.19,1345
Yasur,Stratovolcano,-19.53,169.44,361
Yellowstone,Caldera,44.43,-110.67,2805
Zavaritzki Caldera,Caldera,46.93,151.95,624
Zheltovsky,,51.57,157.32,1953
Zhupanovsky,,53.59,159.15,2958
Zimina,Stratovolcano,55.86,160.6,3081
